03/13 12:27:02.746/IST   WARN - Session Config - 2# no announce.new.markets property found in initialization file; defaulting to false
03/13 12:27:02.751/IST   WARN -       Config - Using Cost Limit Purchase pages
03/13 12:27:02.751/IST   INFO -   AllMarkets - version = 1
03/13 12:27:02.832/IST   INFO -        trace -    creating AllMarkets
03/13 12:27:03.660/IST   WARN - Configurator - No configuration found. Configuring ehcache from ehcache-failsafe.xml found in the classpath: jar:file:/mnt/SOLIDSTATE/predictionmarket2015/zocalo/zocalo_PRODUCTION_ENV/jars/ehcache-1.1.jar!/ehcache-failsafe.xml
03/13 12:27:04.572/IST   INFO -   AllMarkets -  opened port '30020'.  Browse to                    http://<<yourhost>>:30020/Welcome.jsp
03/13 12:27:04.573/IST   WARN - Session Config - 34# no RPC.server.enable property found in initialization file; defaulting to false
03/13 12:27:24.332/IST   WARN -    UserError - 35# told User(logging in) "Please type an account name and password".
03/13 12:27:40.446/IST   INFO -     NewChart - The chart for World Cup Final has been updated.
03/13 12:27:48.639/IST  DEBUG -      Trading - haritcsa wants to liquidate Austrailia
03/13 12:28:31.411/IST  DEBUG -      Trading - haritcsa wants to liquidate Austrailia
03/13 12:28:31.426/IST   INFO -  PriceAction - 288# haritcsa traded with the market maker for 0 of World Cup Final:Sri Lanka changing the price from 11 to 12.2177
03/13 12:28:31.430/IST   INFO -  PriceAction - 289# haritcsa traded with the market maker for 0 of World Cup Final:Pakistan changing the price from 11 to 12.2177
03/13 12:28:31.430/IST   INFO -  PriceAction - 290# haritcsa traded with the market maker for -10.76 of World Cup Final:Austrailia changing the price from 11 to 2.2587
03/13 12:28:31.431/IST   INFO -  PriceAction - 291# haritcsa traded with the market maker for 0 of World Cup Final:India changing the price from 11 to 12.2177
03/13 12:28:31.432/IST   INFO -  PriceAction - 292# haritcsa traded with the market maker for 0 of World Cup Final:Bangladesh changing the price from 11 to 12.2177
03/13 12:28:31.432/IST   INFO -  PriceAction - 293# haritcsa traded with the market maker for 0 of World Cup Final:New Zealand changing the price from 11 to 12.2177
03/13 12:28:31.433/IST   INFO -  PriceAction - 294# haritcsa traded with the market maker for 0 of World Cup Final:West Indies changing the price from 11 to 12.2177
03/13 12:28:31.434/IST   INFO -  PriceAction - 295# haritcsa traded with the market maker for 0 of World Cup Final:South Africa changing the price from 11 to 12.2177
03/13 12:28:31.434/IST   INFO -  PriceAction - 296# haritcsa traded with the market maker for 0 of World Cup Final:Ireland changing the price from 11 to 12.2177
